barrio,distrito,price,size,rooms,bathrooms
el Raval,Ciutat Vella,750.0,52,2,1
Sant Antoni,L'Eixample,1100.0,70,3,1
Sant Gervasi - Galvany,Sarrià-Sant Gervasi,7500.0,140,4,2
Sant Gervasi - Galvany,Sarrià-Sant Gervasi,3100.0,192,4,3
Vilapicina i la Torre Llobeta,Nou Barris,590.0,40,1,1
Sant Gervasi - la Bonanova,Les Corts,925.0,75,3,1
Sant Gervasi - Galvany,Sarrià-Sant Gervasi,5200.0,224,3,3
Sant Gervasi - la Bonanova,Les Corts,950.0,57,3,1
Sant Antoni,L'Eixample,1050.0,88,2,1
Gotic,Ciutat Vella,1350.0,78,2,1
l'Antiga Esquerra de l'Eixample,L'Eixample,2600.0,150,3,2
la Salut,Gràcia,790.0,65,3,1
Diagonal Mar i el Front Maritim del Poblenou,Sant Martí,3000.0,200,3,3
Sant Pere. Santa Caterina i la Ribera,Ciutat Vella,1950.0,100,3,2
el Putget i el farró,Sarrià-Sant Gervasi,2080.0,143,4,2
Fort Pienc,L'Eixample,1600.0,61,2,1
el Besos i el Maresme,Sant Martí,1600.0,70,2,1
el Camp d'en Grassot i Gracia Nova,Gràcia,1550.0,96,4,2
Vallcarca i els Penitents,Sarrià-Sant Gervasi,1500.0,95,3,3
el Poble Sec,Sants-Montjuïc,900.0,63,3,1
el Congres i els Indians,Sant Andreu,890.0,58,2,1
Sant Antoni,L'Eixample,900.0,35,1,1
Hostafrancs,Sants-Montjuïc,1150.0,67,2,1
el Parc i la Llacuna del Poblenou,Sant Martí,995.0,102,4,2
Sant Gervasi - Galvany,Sarrià-Sant Gervasi,5700.0,260,4,4
la Salut,Gràcia,928.0,70,3,1
la Nova Esquerra de l'Eixample,L'Eixample,1400.0,62,2,1
l'Antiga Esquerra de l'Eixample,L'Eixample,5000.0,250,5,4
l'Antiga Esquerra de l'Eixample,L'Eixample,5000.0,250,6,4
la Sagrera,Sant Andreu,600.0,45,1,1
el Raval,Ciutat Vella,1000.0,85,4,2
Sant Gervasi - la Bonanova,Les Corts,795.0,38,1,1
Vallcarca i els Penitents,Sarrià-Sant Gervasi,1350.0,47,2,1
Sant Gervasi - la Bonanova,Les Corts,880.0,70,3,1
Sarria,Les Corts,1400.0,90,3,2
l'Antiga Esquerra de l'Eixample,L'Eixample,2550.0,145,3,2
la Salut,Gràcia,800.0,55,3,1
Sarria,Les Corts,1350.0,100,3,2
el Raval,Ciutat Vella,1150.0,75,3,2
el Raval,Ciutat Vella,1100.0,52,1,1
Sant Antoni,L'Eixample,989.0,90,3,2
l'Antiga Esquerra de l'Eixample,L'Eixample,2450.0,110,3,2
la Dreta de l'Eixample,L'Eixample,1750.0,75,2,2
Sant Antoni,L'Eixample,1100.0,75,2,1
Sant Antoni,L'Eixample,990.0,85,2,1
el Raval,Ciutat Vella,555.0,52,1,1
Vallcarca i els Penitents,Sarrià-Sant Gervasi,1040.0,65,3,1
el Camp d'en Grassot i Gracia Nova,Gràcia,1490.0,140,4,2
Sant Antoni,L'Eixample,1000.0,90,4,1
el Raval,Ciutat Vella,900.0,70,2,2
l'Antiga Esquerra de l'Eixample,L'Eixample,1850.0,120,2,2
la Dreta de l'Eixample,L'Eixample,1800.0,175,3,3
l'Antiga Esquerra de l'Eixample,L'Eixample,7500.0,129,3,3
l'Antiga Esquerra de l'Eixample,L'Eixample,2490.0,135,2,3
la Vila de Gracia,Gràcia,1200.0,99,3,2
l'Antiga Esquerra de l'Eixample,L'Eixample,2265.0,90,3,2
el Raval,Ciutat Vella,1000.0,50,2,1
Navas,Sant Andreu,1100.0,75,2,1
Sant Gervasi - Galvany,Sarrià-Sant Gervasi,15000.0,620,5,4
el Raval,Ciutat Vella,1000.0,73,1,1
el Raval,Ciutat Vella,890.0,78,3,1
Sant Antoni,L'Eixample,975.0,78,3,1
el Raval,Ciutat Vella,1000.0,70,1,1
Provencals del Poblenou,Sant Martí,1200.0,80,3,1
Vallcarca i els Penitents,Sarrià-Sant Gervasi,850.0,70,3,1
Sant Antoni,L'Eixample,1100.0,57,1,1
Sant Pere. Santa Caterina i la Ribera,Ciutat Vella,1800.0,70,2,2
Gotic,Ciutat Vella,1350.0,80,3,2
l'Antiga Esquerra de l'Eixample,L'Eixample,2800.0,66,2,2
Sant Antoni,L'Eixample,1000.0,60,3,1
el Raval,Ciutat Vella,700.0,65,3,1
la Nova Esquerra de l'Eixample,L'Eixample,1400.0,69,2,1
la Maternitat i Sant Ramon,Sants-Montjuïc,1250.0,60,2,1
Barceloneta,Ciutat Vella,1200.0,75,4,1
la Salut,Gràcia,1100.0,85,4,1
Fort Pienc,L'Eixample,1699.0,108,4,2
la Vila de Gracia,Gràcia,1200.0,100,4,2
Sant Antoni,L'Eixample,980.0,73,2,1
el Parc i la Llacuna del Poblenou,Sant Martí,1000.0,85,3,1
Sant Gervasi - Galvany,Sarrià-Sant Gervasi,2500.0,90,2,2
la Vila de Gracia,Gràcia,1190.0,50,2,1
Sant Antoni,L'Eixample,750.0,60,2,1
Sant Gervasi - Galvany,Sarrià-Sant Gervasi,4000.0,190,4,3
Sant Antoni,L'Eixample,925.0,74,3,1
la Dreta de l'Eixample,L'Eixample,1800.0,75,2,1
Barceloneta,Ciutat Vella,1250.0,40,2,1
el Putget i el farró,Sarrià-Sant Gervasi,2250.0,110,2,2
el Raval,Ciutat Vella,600.0,34,1,1
Sant Gervasi - Galvany,Sarrià-Sant Gervasi,4300.0,120,2,2
Vallcarca i els Penitents,Sarrià-Sant Gervasi,1125.0,45,1,1
Hostafrancs,Sants-Montjuïc,950.0,80,3,1
el Raval,Ciutat Vella,900.0,49,1,1
la Salut,Gràcia,895.0,50,1,1
Vilapicina i la Torre Llobeta,Nou Barris,1200.0,96,3,2
el Parc i la Llacuna del Poblenou,Sant Martí,840.0,55,2,1
Sant Gervasi - la Bonanova,Les Corts,822.0,49,2,1
Sants - Badal,Sants-Montjuïc,750.0,53,2,1
el Raval,Ciutat Vella,650.0,27,1,1
el Raval,Ciutat Vella,1000.0,32,1,1
Vallcarca i els Penitents,Sarrià-Sant Gervasi,900.0,55,1,1
Barceloneta,Ciutat Vella,1200.0,57,1,1
el Parc i la Llacuna del Poblenou,Sant Martí,870.0,100,3,1
el Coll,Gràcia,1325.0,60,2,1
la Salut,Gràcia,925.0,74,1,1
Sant Antoni,L'Eixample,880.0,62,3,1
Barceloneta,Ciutat Vella,1200.0,150,4,2
Hostafrancs,Sants-Montjuïc,980.0,65,2,1
Gotic,Ciutat Vella,1300.0,45,1,1
Vallcarca i els Penitents,Sarrià-Sant Gervasi,775.0,49,1,1
el Raval,Ciutat Vella,650.0,39,1,1
Fort Pienc,L'Eixample,1700.0,92,3,2
Barceloneta,Ciutat Vella,1250.0,67,1,1
el Parc i la Llacuna del Poblenou,Sant Martí,1050.0,70,2,1
Sant Antoni,L'Eixample,800.0,58,2,1
Hostafrancs,Sants-Montjuïc,950.0,70,1,1
Sant Gervasi - Galvany,Sarrià-Sant Gervasi,3000.0,110,2,2
el Camp d'en Grassot i Gracia Nova,Gràcia,2800.0,140,3,2
Sant Antoni,L'Eixample,1028.0,70,3,1
Sant Pere. Santa Caterina i la Ribera,Ciutat Vella,2500.0,196,2,1
l'Antiga Esquerra de l'Eixample,L'Eixample,3000.0,190,4,3
Vallcarca i els Penitents,Sarrià-Sant Gervasi,1000.0,42,1,1
la Dreta de l'Eixample,L'Eixample,1800.0,90,2,2
Vallcarca i els Penitents,Sarrià-Sant Gervasi,899.0,55,1,1
Sant Antoni,L'Eixample,1150.0,83,3,1
el Raval,Ciutat Vella,800.0,79,2,1
la Salut,Gràcia,950.0,54,2,1
el Parc i la Llacuna del Poblenou,Sant Martí,850.0,55,2,1
la Nova Esquerra de l'Eixample,L'Eixample,1200.0,56,2,1
el Congres i els Indians,Sant Andreu,850.0,98,3,2
el Poblenou,Sant Martí,1250.0,57,2,1
Sant Antoni,L'Eixample,1100.0,95,3,1
el Putget i el farró,Sarrià-Sant Gervasi,2190.0,179,4,2
l'Antiga Esquerra de l'Eixample,L'Eixample,2800.0,109,3,2
Vallcarca i els Penitents,Sarrià-Sant Gervasi,1650.0,68,1,1
el Raval,Ciutat Vella,625.0,50,2,1
la Salut,Gràcia,750.0,65,2,1
Sant Gervasi - la Bonanova,Les Corts,790.0,50,1,1
el Parc i la Llacuna del Poblenou,Sant Martí,900.0,90,1,1
Sant Antoni,L'Eixample,1175.0,80,3,2
la Salut,Gràcia,850.0,60,2,1
